US2146,Documentation for ServiceMine API,i39,1,1
US2346,Add 2 more LTE Frequencies to Jasmine,i39,3,13.5
US2419,Deploy Jasmine Input Tool to Live,i40,1,1
US2643,Add one more LTE frequencies to Jasmine,i42,1,2
US2771,[Continued] Implement Hot Reload For Prov Template,i43,2,9.5
US2781,Identify OTA Sites currently still have Email password fields,i43,2,2.5
US2042,Set up Dev Environment for RadioShack,i37,3,11
US2144,Add check boxes to Jasmine for Frequency,i38,3,17
US2490,"Migrate agentserve.singtel, and api.truemove",i41,3,11.5
US1658,"Migrate beeline, api.beeline",i41,3,7
US2755,Support - OTA-413 (JIRA Ticket),i43,3,11.5
US2773,HTECH-2407: Nashua - Fix variable substitution in PCM and hardcode manual guide for selected devices,i43,3,29
US1657,"Migrate airvoice, redpocket etc",i40,5,42.5
US1971,"Migrate api.melita, api.soocial.com etc",i40,5,24
US2379,Brand Optus Customer Care Hosted OTA Site,i40,5,13.5
US2376,HTECH-2355: Device Attributes Standard Schema Release - Schema 3.7,i41,5,10.5
US1652,"Migrate optus.configurator.v2, optus.lounge and optus.smb",i41,5,9.5
US2716,HTECH-2348: Create OTA site for Solavei,i42,5,8
US2586,"Migrate agentserve.mtn, agentserve.o2, selfcare.mtn, optus.customercare",i42,5,26.5
US2777,HTECH-2348: Brand OTA site for Solavei,i43,5,34.5
US2049,US2633[Continued] - HTECH-2304 Set up new OTA instance for MTN Selfcare,i37,8,22
US2137,Add check boxes to Jasmine for Bearer Technology,i38,8,27.5
US2045,Personalize welcome (SMS) message,i41,8,61.5
US2595,HTECH-2345: Create OTA site for use with Nashua Selfcare site,i42,8,46.5
US2634,Understand the problem and investigate on possible solution for Translation,i42,8,23.5
US2635,Understand the problem and investigate on possible solution for Provtemplates,i42,8,12
US2043,Create SMS System for RadioShack,i37,13,54.5
HTECH-2262,Reduce Number of Restarts for Jboss,i39,13,32.5
US2290,Trigger SMS system on a Shack Support API activation,i40,13,36.5
US1654,"Migrate toshiba, melita etc",i40,13,20.5
US2711,Deploy Hosted CP to LIVE and Verify,i41,13,40.5
US1974,"Migrate sfrcc.v4, sfrpos.v2, sfrssoadv.v7 and sfrfota.validator",i41,13,36.5
US2706,Implement Hot Reload For Translation,i42,13,35.5
US2707,Implement Hot Reload For Prov Template,i42,13,45
US2724,HTECH-2407: APN Filter for Nashua Mobile,i42,13,44.5
US2581,HTECH-2349: Simulator for Solavei,i43,13,37.5
US2147,Expose Bearer Technology and Frequency in ServiceMine API,i38,21,47
US2714,Load Test Translation & Provtemplates Hot Reload,i43,21,29
US2786,HTECH-2240: Chinese/Arabic Character support in Bluepool,i43,21,76.5
US2850,HTECH-2411: OTA in AF2 for Vodacom,i44,8,20.5
US2839,"Support: Update All WDS Customer OTA sites with the new WDS, A Xerox Company Logo and Disclaimer message",i44,5,19.5
US2808,Support: Fix Device Attributes Documentation Page Error,i44,2,2
US2812,Support: Update the copyright message for WDS XML API,i44,1,6.5
US2806,"Support: Update Device Attributes related sites with the new WDS, A Xerox Company Logo & Copyright message",i44,1,3
US2807,"Support: Update WDS OTA Demo site with the new WDS, A Xerox Company Logo and Disclaimer message",i44,1,4
US2782,Define a Solution for API,i44,5,7
US2783,Update Internal OTA Sites (Not include API) to remove Email Password and have the extra manual guide in the PCM page,i44,5,8
US2784,Update Internal API OTA Sites to remove Email Password and have the extra manual guide in the PCM page,i44,3,7
US2872,Update Jasmine Site,i44,13,55
US2883,Understand Gemalto Build Process,i44,5,11
US2882,Investigate the best way of storing and displaying the Manual Guide,i44,13,28.5
US2668,Maintenance - Add more test coverage where necessary,i44,2,22
US2888,[Continued] Set up SFR Related Infrastructure,i45,1,0.5
US2900,HTECH-2305: OTA for 8ta AF2,i45,5,15.5
US2919,"Update Bluepool stage server for the ""Chinese/Arabic Character support"" work",i45,5,7
US2930,Implement solution of displaying Manual Guide in US2882,i45,8,37
US2950,Investigation: improve the way of error handling in the Online Care OTA Section,i45,8,32.5
US2873,Update Jasmine API,i45,13,80
US2849,HTECH-2411: Simulator in AF2 for Vodacom,i45,13,23.5
US2901,HTECH-2305: Simulator for 8ta AF2,i45,13,12
US3098,"Update WDS logo in Hub, Jasmine and Bluepool",i46,1,2.5
US3046,HTECH-2470: OTA instance for Apple AF2,i46,8,16
US3076,Move Jasmine project from P4 to git,i46,8,29
US3035,Improve the management of application ID in iPhone Profile API B44(US3012),i46,13,42.5
US2884,Gemalto Export to Support OTAP Capability Customization in Jasmine,i46,21,59.5
US3189,Jasmine Change to Add 4G Support for Device and Operator Settings,i47,5,16.5
US3157,Create Hosted Client Provisioning Site for 2degrees Call Support Agent (HTECH-2290),i47,8,52.5
US3158,Create Hosted Client Provisioning Site for 2degrees mobile Subscriber (HTECH-2290),i47,8,49
US3078,Split out deltas from existing database project shared by dm-cp-hosted and jasmine,i47,8,14
US3022,[Unfinished] Create 'Show Me How To' simulator dropdown (core),i47,13,99.5
US3218,HTECH-2489: OTA instance for UltraMobile,i47,13,25.5
US3124,HTECH-2475: When Configuring a NON OTAble device ...,i47,13,42
US2528,[Unfinished] Device Simulation surfaced on page (Centralised Player) - WDS Demo Site,i47,21,79
US3342,[Continued] Device Simulation surfaced on page (Centralised Player) - WDS Demo Site,i48,1,2
US3334,[Continued] Create 'Show Me How To' simulator dropdown (core),i48,1,2
